model,commit_hash,results
baseline,bef8149,1037.5
baseline,bef8149,752.5
baseline,bef8149,1097.5
baseline,bef8149,544.5
baseline,bef8149,803.5
baseline,bef8149,487.0
baseline,bef8149,807.0
baseline,bef8149,924.0
baseline,bef8149,741.0
baseline,bef8149,675.5
baseline,bef8149,736.5
baseline,bef8149,714.5
baseline,bef8149,532.5
baseline,bef8149,1011.0
baseline,bef8149,891.0
baseline,bef8149,572.5
baseline,bef8149,848.0
baseline,bef8149,561.5
baseline,bef8149,1194.5
baseline,bef8149,568.0
baseline,bef8149,1041.0
baseline,bef8149,641.5
baseline,bef8149,525.0
baseline,bef8149,672.0
baseline,bef8149,790.0
baseline,bef8149,436.5
baseline,bef8149,699.0
baseline,bef8149,1165.5
baseline,bef8149,585.0
baseline,bef8149,1193.5
baseline,bef8149,1083.0
baseline,bef8149,836.0
baseline,bef8149,717.5
baseline,bef8149,923.5
baseline,bef8149,1075.5
baseline,bef8149,697.5
baseline,bef8149,842.5
baseline,bef8149,1130.0
baseline,bef8149,596.0
baseline,bef8149,679.5
baseline,bef8149,720.0
baseline,bef8149,988.0
baseline,bef8149,463.0
baseline,bef8149,533.0
baseline,bef8149,1089.5
baseline,bef8149,1267.5
baseline,bef8149,1091.5
baseline,bef8149,777.0
baseline,bef8149,890.0
baseline,bef8149,680.5
baseline,bef8149,868.5
baseline,bef8149,1188.5
baseline,bef8149,1239.5
baseline,bef8149,1163.5
baseline,bef8149,733.0
baseline,bef8149,572.5
baseline,bef8149,1353.0
baseline,bef8149,574.5
baseline,bef8149,954.0
baseline,bef8149,582.0
baseline,bef8149,871.5
baseline,bef8149,668.5
baseline,bef8149,567.5
baseline,bef8149,762.5
baseline,bef8149,486.0
baseline,bef8149,664.0
baseline,bef8149,565.5
baseline,bef8149,852.5
baseline,bef8149,947.5
baseline,bef8149,559.5
baseline,bef8149,1252.0
baseline,bef8149,575.5
baseline,bef8149,416.0
baseline,bef8149,788.5
baseline,bef8149,686.5
baseline,bef8149,691.0
baseline,bef8149,794.0
baseline,bef8149,1097.0
baseline,bef8149,1367.5
baseline,bef8149,726.5
baseline,bef8149,610.0
baseline,bef8149,1148.0
baseline,bef8149,558.0
baseline,bef8149,664.5
baseline,bef8149,1342.0
baseline,bef8149,1138.0
baseline,bef8149,810.5
baseline,bef8149,627.5
baseline,bef8149,676.0
baseline,bef8149,890.5
baseline,bef8149,795.5
baseline,bef8149,1154.0
baseline,bef8149,493.5
baseline,bef8149,867.5
baseline,bef8149,700.0
baseline,bef8149,926.0
baseline,bef8149,788.5
baseline,bef8149,684.0
baseline,bef8149,603.5
baseline,bef8149,1310.5
baseline,bef8149,520.0
baseline,bef8149,597.0
baseline,bef8149,566.5
baseline,bef8149,1189.0
baseline,bef8149,669.5
baseline,bef8149,1303.5
baseline,bef8149,695.5
baseline,bef8149,589.5
baseline,bef8149,549.0
baseline,bef8149,1212.5
baseline,bef8149,854.5
baseline,bef8149,586.0
baseline,bef8149,1215.5
baseline,bef8149,443.5
baseline,bef8149,1076.0
baseline,bef8149,1200.0
baseline,bef8149,1146.5
baseline,bef8149,793.5
baseline,bef8149,886.0
baseline,bef8149,727.0
baseline,bef8149,681.5
baseline,bef8149,865.5
baseline,bef8149,960.0
baseline,bef8149,818.5
baseline,bef8149,932.0
baseline,bef8149,567.5
baseline,bef8149,1078.5
baseline,bef8149,1048.5
baseline,bef8149,748.5
baseline,bef8149,541.0
baseline,bef8149,1242.0
baseline,bef8149,1290.5
baseline,bef8149,713.5
baseline,bef8149,1013.5
baseline,bef8149,1051.5
baseline,bef8149,860.0
baseline,bef8149,823.0
baseline,bef8149,467.5
baseline,bef8149,520.5
baseline,bef8149,711.0
baseline,bef8149,774.5
baseline,bef8149,1068.0
baseline,bef8149,784.5
